ID,Name,Classification per User,Provider Email,Date of Release,Consoles,Owners,Developers,Genres,Multiplayer Options,Online Features,Platforms,Modes,DLC Availability,Prices in dollars,Metacritic Scores,ESRB Content Ratings,System Requirements,Physical Releases,Awards
74,Dreamy Odyssey Infinity's Reach,8,SereneSafari@hotmail.com,2006-10-03,PlayStation,Capcom,Bethesda Game Studios,Action,Local Multiplayer,Streaming Integration,Nintendo DS,Challenge Mode,Paid DLC,8.39,3,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Collector's Edition,Best Innovation
75,Mystic Quest Odyssey of the Ancients,2,WanderersWhisper@yahoo.com,1992-11-24,PlayStation,CD Projekt,Valve,Adventure,Competitive LAN,Social Media Integration,Wii U,Free Play,Expansion Pack,10.0,81,Early Childhood,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Definitive Edition,Best Narrative
76,Lunar Chronicles Dreamscape Chronicles,2,DreamyDrifter@outlook.com,2000-07-24,Nintendo Switch,Epic Games,CD Projekt Red,Adventure,Cross-platform Multiplayer,Season Pass,Nintendo DS,Custom Mode,Paid DLC,10.0,23,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Standard Edition,Best Indie Game
77,Twilight Saga Infinity's Echo,1,WanderersWhisper@hotmail.com,1994-11-20,PlayStation,Konami,Rockstar North,Action,Competitive Online,Server Browser,Wii U,Survival,Expansion Pack,9.86,50,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Ultimate Edition,Best Action Game
78,Emerald Legends Realm of Dreams,5,EchoingExplorer@gov.com,1995-11-23,GameCube,Konami,Epic Games,Action,Cross-platform Multiplayer,Cross-platform Play,Nintendo DS,Custom Mode,Free DLC,8.53,39,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Day One Edition,Most Anticipated
79,Neon Quest Epoch of Legends,4,WanderersWhim@hotmail.com,1988-02-15,GameCube,Bethesda Softworks,Blizzard Entertainment,Adventure,Split Screen,Cloud Saves,Game Boy Advance,Story Mode,Paid DLC,7.39,85,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Gold Edition,Fan Favorite
80,Solar Odyssey Infinity's Echo,3,EternalExplorer@gmail.com,1987-09-05,Sega Genesis,Sega,Bioware,Action,Cross-platform Multiplayer,Online Challenges,GameCube,Practice Mode,Planned,10.0,86,Mature,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Game of the Year Edition,Best Strategy Game
81,Infernal Adventure Legacy of Light,3,NomadicNebula@hotmail.com,2007-06-02,GameCube,Ubisoft,343 Industries,Adventure,Couch Co-op,Matchmaking,Nintendo Switch,Time Trial,Free DLC,5.22,42,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Standard Edition,Game of the Year
82,Frozen Journey Twilight's Embrace,3,WhimsicalWanderer@gmail.com,2003-09-21,PlayStation,Warner Bros. Interactive Entertainment,Infinity Ward,Action,LAN Multiplayer,Downloadable Content (DLC),Nintendo 3DS,Tutorial,Free DLC,8.92,25,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Game of the Year Edition,Game of the Year
83,Eternal Legend Mythos Ascendant,4,CelestialVagabond@gov.com,1999-04-04,Sega Genesis,Microsoft Studios,Gearbox Software,Adventure,Competitive Online,In-game Purchases,Game Boy Advance,Competitive,Expansion Pack,10.0,86,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Anniversary Edition,Best Indie Game
84,Infinite Legends Infinity's Echo,5,WhisperingWayfarer@gov.com,2022-02-01,PlayStation,Sega,Blizzard Entertainment,Action,Competitive Online,Online Chat,Nintendo DS,Multiplayer,Planned,8.21,85,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Platinum Hits,Most Anticipated
85,Infernal Adventure Infinity's Echo,8,WanderlustWanderer@yahoo.com,1991-09-10,Nintendo Switch,Capcom,343 Industries,Action,LAN Multiplayer,Streaming Integration,Nintendo Switch,Free Play,Available,10.0,28,Mature,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Platinum Hits,Best Narrative
86,Starlight Odyssey Nexus Unveiled,1,DreamyDrifter@gmail.com,1989-04-25,Nintendo Switch,CD Projekt,Square Enix,Action,Competitive LAN,Voice Chat,Wii,Practice Mode,Free DLC,5.0,41,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Limited Edition,Best Visuals
87,Mythic Adventure Apex of Adventure,7,SereneSafari@yahoo.com,1988-01-27,Nintendo Switch,Rockstar Games,Ubisoft Montreal,Action,Competitive LAN,Online Chat,Nintendo 3DS,Story Mode,Available,10.0,58,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Gold Edition,Game of the Year
88,Cosmic Journey Odyssey of the Ancients,6,BlossomTrailblazer@gmail.com,1995-05-19,Nintendo Switch,Take-Two Interactive,Square Enix,Adventure,Cross-platform Multiplayer,Online Tournaments,Nintendo DS,Survival,Available,8.72,69,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Premium Edition,Best Direction
89,Shadow Adventure Shadows of Destiny,1,DreamingDrifter@gov.com,1984-05-19,GameCube,Valve,Infinity Ward,Adventure,Couch Multiplayer,Voice Chat,Wii,Cooperative,Paid DLC,5.0,73,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Complete Edition,Best Soundtrack
90,Cyber Quest Infinity's Reach,2,DreamingDrifter@hotmail.com,1986-10-19,GameCube,Microsoft Studios,Bungie,Adventure,Couch Co-op,Online Events,Nintendo 64,Single Player,Planned,8.32,74,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Ultimate Edition,Best Narrative
91,Frozen Journey Shadows of Destiny,5,EnchantedExplorer@yahoo.com,2017-03-07,Nintendo 64,Square Enix,Capcom,Adventure,Online Co-op,Online Leaderboards,Nintendo DS,Campaign,Free DLC,10.0,62,Everyone 10+,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Signature Edition,Best Narrative
92,Abyssal Journey Legends Unbound,2,TranquilTrekker@gov.com,2021-01-27,Nintendo 64,CD Projekt,343 Industries,Adventure,Competitive Local,User-generated Content,Nintendo 3DS,Online,Paid DLC,6.64,53,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Day One Edition,Best Narrative
93,Abyssal Journey Astral Ascension,7,EnchantedJourney@gmail.com,1996-08-05,GameCube,Konami,Epic Games,Action,Online Co-op,Online Chat,Nintendo Switch,Time Trial,Free DLC,6.76,47,Adults Only,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Anniversary Edition,Fan Favorite
94,Mystic Quest Echoes of Eternity,3,EtherealEcho@gov.com,2018-02-28,PlayStation,Warner Bros. Interactive Entertainment,Kojima Productions,Adventure,Local Co-op,Voice Chat,Nintendo Switch,Offline,Season Pass,10.0,71,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Ultimate Edition,Best RPG
95,Cyber Quest Horizon's Edge,8,EtherealExplorer@outlook.com,2023-03-22,Nintendo 64,THQ Nordic,Square Enix,Adventure,Competitive Online,Online Challenges,Wii U,Custom Mode,Paid DLC,5.06,25,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Premium Edition,Best Soundtrack
96,Shadow Adventure Horizon's Edge,7,CelestialRoamer@gmail.com,2006-09-06,Sega Genesis,Konami,Insomniac Games,Action,LAN Co-op,Online Challenges,GameCube,Campaign,Paid DLC,9.15,25,Teen,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Anniversary Edition,Best Strategy Game
97,Celestial Adventure Dreamscape Chronicles,4,DreamingDrifter@gov.com,1993-12-17,GameCube,Warner Bros. Interactive Entertainment,CD Projekt Red,Action,Local Multiplayer,Social Media Integration,Wii,Competitive,Free DLC,5.0,75,Everyone 10+,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Game of the Year Edition,Best Game Design
98,Galactic Odyssey Elysium's Embrace,7,WanderersWhisper@outlook.com,2019-06-16,PlayStation,Sony Interactive Entertainment,Ubisoft Montreal,Action,Competitive Local,Online Tournaments,Nintendo 3DS,Online,Planned,10.0,15,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Complete Edition,Best Visuals
99,Cosmic Journey Beyond the Horizon,6,CelestialRoamer@yahoo.com,1985-06-17,Sega Genesis,Sony Interactive Entertainment,CD Projekt Red,Action,Couch Multiplayer,User-generated Content,Wii,Challenge Mode,Season Pass,10.0,60,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Ultimate Edition,Best Racing Game
100,Lunar Chronicles Beyond the Horizon,2,SoulfulSojourner@gmail.com,1993-10-05,Nintendo Switch,Electronic Arts,Bungie,Action,Local Multiplayer,Season Pass,Nintendo Switch,Single Player,Available,10.0,35,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Collector's Edition,Best Visuals
101,Infernal Adventure Odyssey's End,1,CelestialRoamer@gmail.com,2018-05-21,Sega Genesis,Activision,Square Enix,Action,Couch Multiplayer,Season Pass,Game Boy Advance,Challenge Mode,Planned,9.07,26,Everyone 10+,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Day One Edition,Best RPG
102,Dragon Saga Infinity's Reach,9,WhisperingWayfarer@outlook.com,2019-05-28,Nintendo Switch,Tencent Games,Valve,Action,Couch Co-op,Online Tournaments,Game Boy Advance,Competitive,Available,5.0,61,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Special Edition,Game of the Year
103,Starlight Odyssey Chronicles of Discovery,3,EnchantedJourney@gmail.com,1980-10-22,Nintendo Switch,Epic Games,Insomniac Games,Adventure,Online Multiplayer,In-game Purchases,Nintendo DS,Free Play,Not Available,10.0,25,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Gold Edition,Most Anticipated
104,Starlight Odyssey Infinity's Reach,8,EnchantedEclipse@gmail.com,2018-04-22,GameCube,Tencent Games,Rockstar North,Action,Online Co-op,In-game Purchases,Nintendo Switch,Multiplayer,Available,5.68,9,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Enhanced Edition,Best Multiplayer Game
105,Phantom Saga Phoenix Reborn,1,WanderersWhisper@hotmail.com,2018-07-14,Nintendo 64,Microsoft Studios,Bungie,Action,Couch Multiplayer,Online Events,Game Boy Advance,Practice Mode,Season Pass,5.0,0,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Collector's Edition,Best Visuals
106,Dreamy Odyssey Legends Unbound,7,CelestialRoamer@outlook.com,1995-02-10,GameCube,CD Projekt,Capcom,Action,Cross-platform Multiplayer,Online Challenges,Wii,Custom Mode,Planned,10.0,4,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Limited Edition,Game of the Year
107,Mythic Adventure Infinity's Echo,8,CelestialRoamer@outlook.com,2009-01-22,Sega Genesis,CD Projekt,Rockstar North,Adventure,Local Multiplayer,Cross-platform Play,Nintendo Switch,Time Trial,Expansion Pack,5.0,80,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Gold Edition,Best Fighting Game
108,Galactic Odyssey Heroes Reborn,2,WanderlustWanderer@outlook.com,2012-08-19,Nintendo Switch,Bethesda Softworks,Square Enix,Action,Couch Co-op,Cross-platform Play,Nintendo 3DS,Free Play,Paid DLC,9.19,79,Early Childhood,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Collector's Edition,Best Game Design
109,Solar Odyssey Enigma Unleashed,8,EchoingExplorer@outlook.com,2014-04-03,PlayStation,Sega,Bethesda Game Studios,Action,Competitive LAN,Season Pass,Nintendo 64,Story Mode,Expansion Pack,6.94,0,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Steelbook Edition,Fan Favorite
110,Enchanted Quest Dreamscape Chronicles,5,EternalExplorer@gov.com,1998-06-26,GameCube,Rockstar Games,Nintendo EAD,Adventure,LAN Co-op,Online Tournaments,GameCube,Time Trial,Expansion Pack,9.17,60,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Standard Edition,Best Performance
111,Forgotten Legends Mythos Ascendant,10,WanderersWhisper@yahoo.com,1982-06-27,PlayStation,Bandai Namco Entertainment,Infinity Ward,Adventure,Local Co-op,Matchmaking,Wii,Survival,Paid DLC,6.25,57,Adults Only,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Ultimate Edition,Most Anticipated
112,Cosmic Journey Horizon's Edge,6,TranquilTrekker@outlook.com,2016-01-29,Sega Genesis,Konami,Naughty Dog,Action,Couch Multiplayer,Live Events,GameCube,Online,Not Available,5.0,95,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Standard Edition,Best Direction
113,Celestial Adventure Echoes of Eternity,1,DreamingNomad@gov.com,2023-05-23,Nintendo 64,Capcom,Guerrilla Games,Action,LAN Co-op,Voice Chat,Wii,Survival,Free DLC,5.1,5,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Day One Edition,Best Performance
114,Twilight Saga Epoch of Legends,6,DreamyDrifter@gov.com,2020-11-13,Sega Genesis,Bethesda Softworks,Epic Games,Action,LAN Co-op,Online Challenges,Nintendo 64,Challenge Mode,Free DLC,6.47,39,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Anniversary Edition,Best Strategy Game
115,Emerald Legends Infinity's Echo,4,VoyageVirtuoso@yahoo.com,1985-06-18,Nintendo 64,Sega,Naughty Dog,Adventure,Online Multiplayer,In-game Purchases,Nintendo 64,Tutorial,Expansion Pack,10.0,34,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Game of the Year Edition,Best Innovation
116,Dragon Saga Dreamscape Chronicles,7,EternalExplorer@gmail.com,1983-05-29,Nintendo Switch,Sony Interactive Entertainment,Kojima Productions,Adventure,Couch Co-op,Streaming Integration,Nintendo 64,Online,Expansion Pack,9.58,10,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Definitive Edition,Best Fighting Game
117,Twilight Saga Twilight's Embrace,3,WhisperingWayfarer@outlook.com,2001-08-14,GameCube,Tencent Games,Bethesda Game Studios,Adventure,Competitive LAN,Downloadable Content (DLC),Game Boy Advance,Competitive,Free DLC,9.96,27,Teen,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Collector's Edition,Best Narrative
118,Mythic Adventure Origins Revealed,9,WanderlustWisp@hotmail.com,1995-11-30,GameCube,Valve,Valve,Adventure,LAN Co-op,Online Events,Nintendo 64,Multiplayer,Not Available,5.0,11,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Steelbook Edition,Best Narrative
119,Infinite Legends Epoch of Legends,9,DreamyDrifter@yahoo.com,1994-12-11,Nintendo 64,Nintendo,Capcom,Adventure,Local Co-op,Live Events,Wii U,Cooperative,Available,8.42,99,Early Childhood,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Standard Edition,Most Anticipated
120,Infinite Legends Apex of Adventure,2,WanderlustWanderer@gmail.com,2019-06-15,Nintendo 64,Warner Bros. Interactive Entertainment,343 Industries,Adventure,Local Multiplayer,Season Pass,Wii U,Story Mode,Season Pass,10.0,31,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Anniversary Edition,Best Strategy Game
121,Abyssal Journey Shadows of Destiny,7,CosmicAdventurer@yahoo.com,2023-12-09,Nintendo 64,CD Projekt,Infinity Ward,Action,Cross-platform Multiplayer,Live Events,GameCube,Tutorial,Not Available,5.0,24,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Enhanced Edition,Best Multiplayer Game
122,Dreamy Odyssey Heroes Reborn,7,WanderlustWisp@outlook.com,2023-11-12,PlayStation,Electronic Arts,Bungie,Action,Competitive Local,Downloadable Content (DLC),Wii U,Challenge Mode,Planned,10.0,16,Teen,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Day One Edition,Best Sports Game
123,Neon Quest Origins Revealed,9,WanderersWhisper@outlook.com,1983-06-22,PlayStation,Microsoft Studios,Respawn Entertainment,Adventure,Local Co-op,Online Tournaments,Nintendo Switch,Tutorial,Free DLC,5.0,87,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Complete Edition,Best Strategy Game
124,Elemental Saga Horizon's Edge,1,WhisperingWayfarer@yahoo.com,1997-09-10,GameCube,Epic Games,Gearbox Software,Adventure,LAN Multiplayer,Social Media Integration,Nintendo DS,Custom Mode,Season Pass,5.0,2,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Steelbook Edition,Best Soundtrack
125,Neon Quest Beyond the Horizon,3,WhisperingWayfarer@hotmail.com,1997-10-17,Sega Genesis,Ubisoft,Rockstar North,Action,Competitive Online,Cloud Saves,Nintendo 3DS,Offline,Free DLC,6.21,5,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Limited Edition,Best Innovation
126,Phantom Saga Origins Revealed,7,DreamyVoyager@gov.com,1982-10-01,Nintendo 64,Rockstar Games,Guerrilla Games,Action,Split Screen,Online Chat,Nintendo DS,Single Player,Season Pass,5.0,25,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Platinum Hits,Best Racing Game
127,Cyber Quest Infinity's Echo,8,MoonlitWanderer@hotmail.com,2015-07-16,Sega Genesis,Ubisoft,Naughty Dog,Action,Competitive LAN,Online Events,GameCube,Challenge Mode,Expansion Pack,5.0,0,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Definitive Edition,Most Anticipated
128,Celestial Adventure Mythos Ascendant,5,WhisperingWayfarer@hotmail.com,1980-03-30,Nintendo 64,Bethesda Softworks,Rockstar North,Action,Split Screen,User-generated Content,Nintendo Switch,Cooperative,Expansion Pack,7.15,17,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Enhanced Edition,Best Sports Game
129,Phantom Saga Dreamscape Chronicles,1,WanderersWhim@outlook.com,2023-02-25,Nintendo Switch,CD Projekt,Square Enix,Adventure,Online Co-op,Live Events,Nintendo DS,Multiplayer,Free DLC,5.0,64,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Day One Edition,Best Racing Game
130,Cosmic Journey Astral Ascension,4,NatureNurturer@yahoo.com,1988-07-10,Nintendo 64,Bandai Namco Entertainment,Infinity Ward,Action,Competitive Online,Online Chat,Nintendo 64,Custom Mode,Available,10.0,14,Everyone 10+,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Steelbook Edition,Best Direction
131,Starlight Odyssey Dreamscape Chronicles,10,SoulfulSojourner@gov.com,1997-05-06,Nintendo Switch,Konami,Bethesda Game Studios,Action,Online Multiplayer,Social Media Integration,Nintendo 3DS,Practice Mode,Available,10.0,97,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Standard Edition,Best Fighting Game
132,Infernal Adventure Chronicles of Discovery,9,EchoingExplorer@yahoo.com,1980-02-03,GameCube,Epic Games,Square Enix,Adventure,Local Co-op,Streaming Integration,Game Boy Advance,Single Player,Paid DLC,5.0,7,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Signature Edition,Best RPG
133,Mystic Quest Astral Ascension,4,WanderersWhisper@yahoo.com,2022-12-16,Nintendo 64,Take-Two Interactive,Ubisoft Montreal,Adventure,LAN Multiplayer,User-generated Content,Nintendo 3DS,Free Play,Not Available,10.0,93,Adults Only,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Standard Edition,Best Performance
134,Galactic Odyssey Chronicles of Discovery,5,CelestialRoamer@outlook.com,2004-10-30,GameCube,Capcom,Naughty Dog,Adventure,Online Co-op,Online Tournaments,Wii U,Offline,Expansion Pack,9.97,52,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Anniversary Edition,Best Innovation
135,Mystic Quest Twilight's Embrace,3,WhimsicalWanderer@gmail.com,1999-08-01,Nintendo Switch,Electronic Arts,Bethesda Game Studios,Action,LAN Co-op,Online Leaderboards,GameCube,Tutorial,Available,7.04,20,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Special Edition,Best Indie Game
136,Solar Odyssey Nexus Unveiled,10,WandererInWhispers@yahoo.com,2007-01-29,PlayStation,Rockstar Games,Rockstar North,Adventure,Local Co-op,Online Tournaments,GameCube,Online,Not Available,9.61,74,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Gold Edition,Best Action Game
137,Forgotten Legends Infinity's Echo,6,CosmicAdventurer@outlook.com,2023-11-07,GameCube,Warner Bros. Interactive Entertainment,Bioware,Adventure,LAN Co-op,Online Tournaments,GameCube,Campaign,Paid DLC,9.66,7,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Steelbook Edition,Best Sports Game
138,Cosmic Journey Realm of Dreams,7,DreamingNomad@gmail.com,2007-04-27,Nintendo 64,Warner Bros. Interactive Entertainment,Respawn Entertainment,Adventure,Competitive LAN,In-game Purchases,GameCube,Challenge Mode,Season Pass,9.94,98,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Collector's Edition,Best RPG
139,Ancient Chronicles Beyond the Horizon,6,AdventureEnthusiast@gov.com,2000-01-01,PlayStation,Konami,Insomniac Games,Action,LAN Multiplayer,Cloud Saves,Nintendo Switch,Challenge Mode,Season Pass,10.0,21,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Standard Edition,Best Visuals
140,Emerald Legends Nexus Unveiled,10,DreamingDrifter@outlook.com,1991-08-11,Nintendo 64,Take-Two Interactive,CD Projekt Red,Adventure,Cross-platform Multiplayer,Streaming Integration,Nintendo 3DS,Online,Available,5.0,36,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Gold Edition,Best Innovation
141,Ancient Chronicles Astral Ascension,9,NatureNurturer@outlook.com,1981-02-25,GameCube,Bandai Namco Entertainment,343 Industries,Adventure,Competitive Local,Online Events,Wii,Challenge Mode,Not Available,10.0,71,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Gold Edition,Best Direction
142,Forgotten Legends Astral Ascension,1,BlissfulRoamer@outlook.com,1992-03-11,Nintendo 64,Epic Games,Respawn Entertainment,Action,LAN Co-op,User-generated Content,Wii U,Time Trial,Free DLC,9.2,8,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Signature Edition,Best Indie Game
143,Starlight Odyssey Echoes of Eternity,4,EnchantedEclipse@hotmail.com,2022-11-16,PlayStation,Activision,Naughty Dog,Adventure,Local Co-op,Online Chat,Game Boy Advance,Tutorial,Available,5.0,80,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Signature Edition,Best Game Design
144,Frozen Journey Origins Revealed,2,TwilightTraveler@hotmail.com,1986-05-25,PlayStation,Konami,Respawn Entertainment,Action,Online Multiplayer,Matchmaking,Wii U,Cooperative,Season Pass,5.65,94,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Game of the Year Edition,Best Direction
145,Abyssal Journey Epoch of Legends,4,WanderersWhisper@hotmail.com,1996-06-27,Nintendo 64,Take-Two Interactive,Infinity Ward,Adventure,Competitive LAN,User-generated Content,Nintendo 64,Practice Mode,Planned,10.0,29,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Limited Edition,Most Anticipated
146,Starlight Odyssey Shadows of Destiny,6,EnchantedEclipse@outlook.com,1982-01-20,PlayStation,Nintendo,Respawn Entertainment,Adventure,Local Multiplayer,Cloud Saves,Nintendo DS,Offline,Expansion Pack,9.5,50,Early Childhood,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Enhanced Edition,Best Game Design
